Nickname,Height_cm,Foot_cm,Cousin_n,Age_class,Vision
Seanathon,183,29,16,o_25,Y
falcon,187.96,29,1,u_25,Y
Clay,185.4,27.8,8,o_25,N
stinky,177.17,27,7,o_25,Y
Bee,167.64,22.5,0,o_25,Y
Dash,185.42,27.5,13,o_25,Y
Liam,193,27.2,9,u_25,Y
Asp,174,27,16,u_25,Y
as,154.3,23.5,13,o_25,Y
Smallmouth Bass,185.42,27.14625,4,u_25,Y
flan,177.8,25.2,0,u_25,Y
fishy,160,23.5,2,u_25,N
M,162.5,24,17,o_25,N
Yo,167.64,25.4,0,o_25,N
Alonsito,,,8,u_25,N
sks,177.8,25.4,4,o_25,N
ym,168,23,4,u_25,Y
JK,177.17,24.6,10,o_25,N
egg,175.26,25.4,32,o_25,N
yyyyyyqh,165,23.8,9,u_25,N
myd,163,23.5,3,u_25,N
emula,180.3,28.3,7,u_25,N
Tashi,172.72,25.2,6,u_25,Y
Chubbs,188,28.5,9,o_25,N
J,187.96,29.2,3,o_25,Y
hellokitty,161,25,10,u_25,Y
Adelie penguin,173,26,7,u_25,Y
lterdatasampler,170,26,6,o_25,Y
statgirl1234 ,163,24,18,o_25,Y
YUP,160,23.5,14,u_25,Y
EY,165,23.5,1,u_25,N
isla,168,24,4,u_25,Y
ABD,163,23,8,u_25,Y
